From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A0D0E6B8	A0A0D0E6B8	unreviewed	A0A0D0E6B8_9AGAM	WD40 repeat-like protein	PAXRUDRAFT_829161	Paxillus rubicundulus Ve08.2h10	556				
U2BZZ2	U2BZZ2	unreviewed	U2BZZ2_9FLAO	KWG Leptospira	HMPREF1551_01793	Capnocytophaga sp. oral taxon 863 str. F0517	314				
K7F6D1	K7F6D1	unreviewed	K7F6D1_PELSI	WD repeat domain 49	WDR49	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	706				
A0A0N8JVK0	A0A0N8JVK0	unreviewed	A0A0N8JVK0_SCLFO	Uncharacterized protein	Z043_123830	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	596				
K7LRT1	K7LRT1	unreviewed	K7LRT1_SOYBN	WEB family protein	100818214 GLYMA_11G235600	Glycine max (Soybean) (Glycine hispida)	560				
I0YKD2	I0YKD2	unreviewed	I0YKD2_COCSC	SRA1/Sec31 domain-containing protein	COCSUDRAFT_49081	Coccomyxa subellipsoidea (strain C-169) (Green microalga)	1272	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum membrane [GO:0005789]		GO:0005789; GO:0006888; GO:0031410
A0A1H1PF34	A0A1H1PF34	unreviewed	A0A1H1PF34_9ACTO	Transcriptional regulator WhiB	whiB SAMN04489715_1643	Schaalia meyeri	83	regulation of DNA-templated transcription [GO:0006355]	cytoplasm [GO:0005737]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005737; GO:0006355; GO:0035731; GO:0046872; GO:0051539
A0A1E3HC25	A0A1E3HC25	unreviewed	A0A1E3HC25_9TREE	F-box domain-containing protein	L202_07400	Cryptococcus amylolentus CBS 6039	783				
A0A0C9VYM3	A0A0C9VYM3	unreviewed	A0A0C9VYM3_9AGAM	Unplaced genomic scaffold scaffold_16, whole genome shotgun sequence	HYDPIDRAFT_112883	Hydnomerulius pinastri MD-312	586				
A0A1G0WP40	A0A1G0WP40	unreviewed	A0A1G0WP40_9BACT	WG repeat-containing protein	A2475_10255	Ignavibacteria bacterium RIFOXYC2_FULL_35_21	364				
A0A218QB62	A0A218QB62	unreviewed	A0A218QB62_9CYAN	WD-40 repeat-containing protein	NIES4075_00820	Tolypothrix sp. NIES-4075	1195	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]	ADP binding [GO:0043531]; DNA binding [GO:0003677]	GO:0003677; GO:0005829; GO:0006355; GO:0043531
G8LVX6	G8LVX6	unreviewed	G8LVX6_ACECE	WXG100 family type VII secretion target	Clocl_0857	Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45) (Clostridium clariflavum)	108				
A0A1D2N575	A0A1D2N575	unreviewed	A0A1D2N575_ORCCI	Poly [ADP-ribose] polymerase	Ocin01_06598	Orchesella cincta (Springtail) (Podura cincta)	763		nucleus [GO:0005634]	DNA binding [GO:0003677]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003950; GO:0005634; GO:0008270
A0A0C1YEI1	A0A0C1YEI1	unreviewed	A0A0C1YEI1_9ACTN	Transcriptional regulator	QR77_21895	Streptomyces sp. 150FB	340			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
A0A089INZ1	A0A089INZ1	unreviewed	A0A089INZ1_9BACL	Transcriptional regulator	H70737_21300	Paenibacillus sp. FSL H7-0737	318			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
R9MRH2	R9MRH2	unreviewed	R9MRH2_9FIRM	HTH deoR-type domain-containing protein	C817_04995	Dorea sp. 5-2	318			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
A0A097IG12	A0A097IG12	unreviewed	A0A097IG12_9CORY	Transcriptional regulator	CDOO_07300	Corynebacterium doosanense CAU 212 = DSM 45436	312				
Q0CG09	Q0CG09	unreviewed	Q0CG09_ASPTN	xylan 1,4-beta-xylosidase (EC 3.2.1.37)	ATEG_07383	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	908	xylan catabolic process [GO:0045493]		xylan 1,4-beta-xylosidase activity [GO:0009044]	GO:0009044; GO:0045493
F2URE2	F2URE2	unreviewed	F2URE2_SALR5	DDHD domain-containing protein	PTSG_10921	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	807			metal ion binding [GO:0046872]	GO:0046872
Q57XT3	Q57XT3	unreviewed	Q57XT3_TRYB2	tRNA 4-demethylwyosine synthase (AdoMet-dependent) (EC 4.1.3.44)	Tb07.21H15.230 Tb927.7.7130	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	835	wybutosine biosynthetic process [GO:0031591]	cytoplasm [GO:0005737]; membrane [GO:0016020]	4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]	GO:0003824; GO:0005737; GO:0010181; GO:0016020; GO:0031591; GO:0046872; GO:0051539
A0A1M5MC66	A0A1M5MC66	unreviewed	A0A1M5MC66_9BURK	Polysaccharide chain length determinant protein, PEP-CTERM locus subfamily	SAMN05428948_1877	Massilia sp. CF038	508	lipopolysaccharide biosynthetic process [GO:0009103]	plasma membrane [GO:0005886]		GO:0005886; GO:0009103
H3GID2	H3GID2	unreviewed	H3GID2_PHYRM	WW domain-containing protein		Phytophthora ramorum (Sudden oak death agent)	924	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]	U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]	RNA binding [GO:0003723]	GO:0000398; GO:0003723; GO:0005685; GO:0045292; GO:0071004
A0A1F8R077	A0A1F8R077	unreviewed	A0A1F8R077_9CHLR	XdhC/CoxI family protein	A2W36_02970	Chloroflexi bacterium RBG_16_58_14	347				
E1ZFF7	E1ZFF7	unreviewed	E1ZFF7_CHLVA	Uncharacterized protein	CHLNCDRAFT_57841	Chlorella variabilis (Green alga)	704	purine nucleobase transmembrane transport [GO:1904823]	membrane [GO:0016020]	nucleobase transmembrane transporter activity [GO:0015205]	GO:0015205; GO:0016020; GO:1904823
A0A1W2E044	A0A1W2E044	unreviewed	A0A1W2E044_9HYPH	Molybdenum cofactor sulfurylase	SAMN05880593_11681	Rhizobium sp. RU36D	265				
K3XYJ1	K3XYJ1	unreviewed	K3XYJ1_SETIT	Xyloglucan endotransglucosylase/hydrolase (EC 2.4.1.207)	101784318 SETIT_4G104900v2	Setaria italica (Foxtail millet) (Panicum italicum)	299	cell wall biogenesis [GO:0042546]; cell wall organization [GO:0071555]; xyloglucan metabolic process [GO:0010411]	apoplast [GO:0048046]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]	GO:0004553; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555
G9YYW2	G9YYW2	unreviewed	G9YYW2_9ENTR	Xanthine permease	HMPREF0880_00400	Yokenella regensburgei ATCC 43003	482		plasma membrane [GO:0005886]	nucleobase transmembrane transporter activity [GO:0015205]	GO:0005886; GO:0015205
A0A0I9V3J8	A0A0I9V3J8	unreviewed	A0A0I9V3J8_9MYCO	XshC-Cox1 family protein	ABH38_06300	Mycobacterium haemophilum	389				
A0A124IGL9	A0A124IGL9	unreviewed	A0A124IGL9_9FIRM	O-antigen polymerase	APF76_07770	Desulfitibacter sp. BRH_c19	421		membrane [GO:0016020]		GO:0016020
A0A1H0V6Q9	A0A1H0V6Q9	unreviewed	A0A1H0V6Q9_9HYPH	Xanthine permease	SAMN05443582_10924	Phyllobacterium sp. OV277	509		plasma membrane [GO:0005886]	nucleobase transmembrane transporter activity [GO:0015205]	GO:0005886; GO:0015205
R5GWI4	R5GWI4	unreviewed	R5GWI4_9FIRM	MFS transporter purine transporter family	BN555_00079	Firmicutes bacterium CAG:24	452	purine nucleobase transmembrane transport [GO:1904823]	plasma membrane [GO:0005886]	nucleobase transmembrane transporter activity [GO:0015205]	GO:0005886; GO:0015205; GO:1904823
A4TG12	A4TG12	unreviewed	A4TG12_MYCGI	Transposase IS200-family protein	Mflv_5478	Mycolicibacterium gilvum (strain PYR-GCK) (Mycobacterium gilvum (strain PYR-GCK))	128	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313
C9PQ16	C9PQ16	unreviewed	C9PQ16_9PAST	DNA gyrase inhibitor YacG	yacG HMPREF0621_1090	Pasteurella dagmatis ATCC 43325	67	regulation of DNA-templated transcription [GO:0006355]		DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity [GO:0008657]; zinc ion binding [GO:0008270]	GO:0006355; GO:0008270; GO:0008657
A0A1H8JWI7	A0A1H8JWI7	unreviewed	A0A1H8JWI7_9SPHN	Type-2 restriction enzyme (EC 3.1.21.4)	SAMN05192583_3700	Sphingomonas gellani	245	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; type II site-specific deoxyribonuclease activity [GO:0009036]	GO:0003677; GO:0009036; GO:0009307
R5EPL4	R5EPL4	unreviewed	R5EPL4_9FIRM	Preprotein translocase YajC subunit	BN466_02193	Firmicutes bacterium CAG:110	126		plasma membrane [GO:0005886]		GO:0005886
H0X723	H0X723	unreviewed	H0X723_OTOGA	Autophagy related 16 like 2	ATG16L2	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	617	autophagosome assembly [GO:0000045]; negative stranded viral RNA replication [GO:0039689]; protein lipidation [GO:0006497]	Atg12-Atg5-Atg16 complex [GO:0034274]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; phagophore assembly site membrane [GO:0034045]		GO:0000045; GO:0005654; GO:0005829; GO:0006497; GO:0034045; GO:0034274; GO:0039689
A0A1M6Y643	A0A1M6Y643	unreviewed	A0A1M6Y643_9FLAO	Head domain of trimeric autotransporter adhesin	SAMN05444407_102368	Chryseobacterium contaminans	425		outer membrane [GO:0019867]		GO:0019867
A0A177WUE2	A0A177WUE2	unreviewed	A0A177WUE2_BATDL	Protein YAE1 (Protein yae1)	BDEG_27057	Batrachochytrium dendrobatidis (strain JEL423)	167		cytoplasm [GO:0005737]; nucleus [GO:0005634]		GO:0005634; GO:0005737
T1JPP5	T1JPP5	unreviewed	T1JPP5_TETUR	Protein HIRA	107362990	Tetranychus urticae (Two-spotted spider mite)	1029	chromatin organization [GO:0006325]; DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]	nucleus [GO:0005634]		GO:0005634; GO:0006325; GO:0006351; GO:0006355
A0A1X1QVQ9	A0A1X1QVQ9	unreviewed	A0A1X1QVQ9_MYCBE	Nucleoid-associated protein AWB93_23900	AWB93_23900	Mycobacterium bohemicum	117		bacterial nucleoid [GO:0043590]; cytoplasm [GO:0005737]	DNA binding [GO:0003677]	GO:0003677; GO:0005737; GO:0043590
A0A0H5BPU2	A0A0H5BPU2	unreviewed	A0A0H5BPU2_BLAVI	YbjN domain-containing protein	BV133_2265 BVIRIDIS_18890	Blastochloris viridis (Rhodopseudomonas viridis)	166				
A0A150GXP4	A0A150GXP4	unreviewed	A0A150GXP4_GONPE	XPG-I domain-containing protein	GPECTOR_4g1013	Gonium pectorale (Green alga)	1164			nuclease activity [GO:0004518]	GO:0004518
A0A1Y6C849	A0A1Y6C849	unreviewed	A0A1Y6C849_9PROT	Uncharacterized metal-binding protein YceD, DUF177 family	SAMN06296036_114108	Pseudobacteriovorax antillogorgiicola	178				
A0A1J0P9P4	A0A1J0P9P4	unreviewed	A0A1J0P9P4_9SYNE	Probable phosphoketolase (EC 4.1.2.-)	BM449_06730	Synechococcus sp. SynAce01	811	carbohydrate metabolic process [GO:0005975]		aldehyde-lyase activity [GO:0016832]	GO:0005975; GO:0016832
A0A1Y3XUB0	A0A1Y3XUB0	unreviewed	A0A1Y3XUB0_9ACTN	Phosphoketolase	B5G02_04825	[Collinsella] massiliensis	848	carbohydrate metabolic process [GO:0005975]		aldehyde-lyase activity [GO:0016832]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005975; GO:0016832
A0A2A5CS88	A0A2A5CS88	unreviewed	A0A2A5CS88_9GAMM	DNA-binding protein	COA99_02870	Moraxellaceae bacterium	109			DNA binding [GO:0003677]	GO:0003677
H1Q443	H1Q443	unreviewed	H1Q443_9BACT	DUF177 domain-containing protein	HMPREF9140_01681	Prevotella micans F0438	172				
A0A200QN88	A0A200QN88	unreviewed	A0A200QN88_9MAGN	UVR domain	BVC80_8761g16	Macleaya cordata	340			DNA binding [GO:0003677]	GO:0003677
A0A1G2EHS4	A0A1G2EHS4	unreviewed	A0A1G2EHS4_9BACT	Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)	mltG A2896_02115	Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_32	280	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]	plasma membrane [GO:0005886]	lytic endotransglycosylase activity [GO:0008932]	GO:0005886; GO:0008932; GO:0009252; GO:0071555
A0A1F4QZN6	A0A1F4QZN6	unreviewed	A0A1F4QZN6_9BACT	Lipid/polyisoprenoid-binding YceI-like domain-containing protein	A2V82_04665	candidate division KSB1 bacterium RBG_16_48_16	172				
A0A024GXJ7	A0A024GXJ7	unreviewed	A0A024GXJ7_9MICC	Protein	ARTSIC4J27_271	Pseudarthrobacter siccitolerans	111				
A0A1R0XGI1	A0A1R0XGI1	unreviewed	A0A1R0XGI1_9BACL	Lipid/polyisoprenoid-binding YceI-like domain-containing protein	BSO21_12350 CA596_03440	Paenibacillus odorifer	177				
A0A0C3AIS1	A0A0C3AIS1	unreviewed	A0A0C3AIS1_9AGAM	Uncharacterized protein	M408DRAFT_30771	Serendipita vermifera MAFF 305830	1157				
A0A078LUD4	A0A078LUD4	unreviewed	A0A078LUD4_9PSED	OsmC-like protein	BN1079_00763	Pseudomonas saudiphocaensis	733				
W0E0S6	W0E0S6	unreviewed	W0E0S6_MARPU	YCII-related domain-containing protein	MARPU_02280	Marichromatium purpuratum 984	103				
A0A290ZMP2	A0A290ZMP2	unreviewed	A0A290ZMP2_9RHOO	YCII-related domain-containing protein	CCZ27_09890	Thauera sp. K11	99				
F9RBN1	F9RBN1	unreviewed	F9RBN1_VIBSN	Cation tolerance protein CutA	VIBRN418_05801	Vibrio sp. (strain N418)	245		bacterial-type flagellum [GO:0009288]	cyclic-di-GMP binding [GO:0035438]	GO:0009288; GO:0035438
A0A0N0TPQ8	A0A0N0TPQ8	unreviewed	A0A0N0TPQ8_9ACTN	Ribosome-binding ATPase YchF	ychF ADL05_07440	Nocardiopsis sp. NRRL B-16309	369			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]	GO:0005524; GO:0005525; GO:0016887; GO:0043023
A0A1H0CWI6	A0A1H0CWI6	unreviewed	A0A1H0CWI6_9DELT	YcaO-type kinase domain-containing protein	SAMN04488516_103217	Desulfonauticus submarinus	606	phosphorylation [GO:0016310]		kinase activity [GO:0016301]	GO:0016301; GO:0016310
Q7DJ60	Q7DJ60	reviewed	EHAG_ECO57	Autotransporter adhesin EhaG (Type 5 secretion system autotransporter EhaG)	ehaG H161 ECs4480 Z5029 A8V30_24325 A8V31_24315 A8V32_24030 JEONG1266_25035	Escherichia coli O157:H7	1588	protein transport [GO:0015031]	cell outer membrane [GO:0009279]; cell surface [GO:0009986]		GO:0009279; GO:0009986; GO:0015031
G1MMG4	G1MMG4	unreviewed	G1MMG4_AILME	Uncharacterized protein		Ailuropoda melanoleuca (Giant panda)	148				
A0A1L8HCY3	A0A1L8HCY3	unreviewed	A0A1L8HCY3_XENLA	Coxsackievirus and adenovirus receptor homolog isoform X1	cxadr.L	Xenopus laevis (African clawed frog)	366				
M4AA72	M4AA72	unreviewed	M4AA72_XIPMA	Ig-like domain-containing protein		Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	346		membrane [GO:0016020]		GO:0016020
A0A031LJU2	A0A031LJU2	unreviewed	A0A031LJU2_9GAMM	Outer membrane protein assembly factor BamD	bamD CL42_13310	Acinetobacter sp. Ver3	338	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; protein insertion into membrane [GO:0051205]	cell outer membrane [GO:0009279]		GO:0009279; GO:0043165; GO:0051205
Q183W8	Q183W8	unreviewed	Q183W8_CLOD6	Putative cellobiose-phosphate degrading protein	celG CD630_28810	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	243	polysaccharide catabolic process [GO:0000272]		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]	GO:0000272; GO:0016811; GO:0046872
A0A0M0KRP9	A0A0M0KRP9	unreviewed	A0A0M0KRP9_9BACI	Radical SAM protein	AMD01_19165	Priestia koreensis	391			catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0003824; GO:0046872; GO:0051536
H3B234	H3B234	unreviewed	H3B234_LATCH	Nectin cell adhesion molecule 2	NECTIN2	Latimeria chalumnae (Coelacanth)	502		membrane [GO:0016020]		GO:0016020
A0A1W9IM68	A0A1W9IM68	unreviewed	A0A1W9IM68_9PROT	YHS domain-containing protein	A4S17_10290	Proteobacteria bacterium HN_bin10	152				
J2VCB0	J2VCB0	unreviewed	J2VCB0_9BURK	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF PMI40_02670	Herbaspirillum sp. YR522	166	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]	GO:0008685; GO:0016114; GO:0019288; GO:0046872
A0A0L0QK38	A0A0L0QK38	unreviewed	A0A0L0QK38_VIRPA	Radical SAM core domain-containing protein	AFK71_10510	Virgibacillus pantothenticus	377			catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0003824; GO:0046872; GO:0051536
A0A2G8LII5	A0A2G8LII5	unreviewed	A0A2G8LII5_STIJA	Putative uronyl 2-sulfotransferase isoform 2	BSL78_02969	Stichopus japonicus (Sea cucumber)	822		Golgi membrane [GO:0000139]	ATP binding [GO:0005524]; sulfotransferase activity [GO:0008146]	GO:0000139; GO:0005524; GO:0008146
A0A072VM74	A0A072VM74	unreviewed	A0A072VM74_MEDTR	Protein yippee-like	MTR_1g077750	Medicago truncatula (Barrel medic) (Medicago tribuloides)	105			metal ion binding [GO:0046872]	GO:0046872
Q47K74	Q47K74	reviewed	YIDD_THEFY	Putative membrane protein insertion efficiency factor	Tfu_3115	Thermobifida fusca (strain YX)	105		plasma membrane [GO:0005886]		GO:0005886
A0A101IUX1	A0A101IUX1	unreviewed	A0A101IUX1_9EURY	Yip1 domain-containing protein	XE11_2085	Methanomicrobiales archaeon 53_19	146		membrane [GO:0016020]		GO:0016020
A0A255YRK2	A0A255YRK2	unreviewed	A0A255YRK2_9FLAO	YicC family protein	CHU92_15210	Flavobacterium cyanobacteriorum	285				
R6NLT2	R6NLT2	unreviewed	R6NLT2_9CLOT	DUF2179 domain-containing protein	BN649_00424	Clostridium sp. CAG:413	287		plasma membrane [GO:0005886]		GO:0005886
A0A1Y4U621	A0A1Y4U621	unreviewed	A0A1Y4U621_9FIRM	Membrane protein	B5E62_01410	Lachnoclostridium sp. An118	291		plasma membrane [GO:0005886]		GO:0005886
A0A0V1CTF0	A0A0V1CTF0	unreviewed	A0A0V1CTF0_TRIBR	Protein YIPF6	yipf6 T03_16184	Trichinella britovi (Parasitic roundworm)	516	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	cytoplasm [GO:0005737]; membrane [GO:0016020]		GO:0005737; GO:0006888; GO:0016020
B0K8R4	B0K8R4	unreviewed	B0K8R4_THEP3	RNA-binding S4 domain protein	Teth39_0871	Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) (Clostridium thermohydrosulfuricum)	248			RNA binding [GO:0003723]	GO:0003723
A0A1Q8Q4V3	A0A1Q8Q4V3	unreviewed	A0A1Q8Q4V3_9BACI	YkyB-like protein	BTO30_09925	Domibacillus antri	162				
A0A0N4U1E3	A0A0N4U1E3	unreviewed	A0A0N4U1E3_DRAME	Vacuolar protein sorting-associated protein 72 homolog	DME_LOCUS4780	Dracunculus medinensis (Guinea worm)	304	regulation of DNA-templated transcription [GO:0006355]	nucleus [GO:0005634]	ATP-dependent H2AZ histone chaperone activity [GO:0140849]	GO:0005634; GO:0006355; GO:0140849
A0A0Q6FP48	A0A0Q6FP48	unreviewed	A0A0Q6FP48_9ACTN	Glutamyl-tRNA amidotransferase	ASG49_01900	Marmoricola sp. Leaf446	112				
A0A060LW36	A0A060LW36	unreviewed	A0A060LW36_9BACI	YrhC-like protein	BleG1_1417	Alkalihalobacillus lehensis G1	78		membrane [GO:0016020]		GO:0016020
A0A1H0CRF2	A0A1H0CRF2	unreviewed	A0A1H0CRF2_9BACI	Uncharacterized SPBc2 prophage-derived protein YoqJ	SAMN05216498_2644	Tenuibacillus multivorans	186				
A0A1G2HHS3	A0A1G2HHS3	unreviewed	A0A1G2HHS3_9BACT	Glutamyl-tRNA amidotransferase	A2932_00725	Candidatus Spechtbacteria bacterium RIFCSPLOWO2_01_FULL_46_10	151			carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	GO:0016884
C5BPR3	C5BPR3	unreviewed	C5BPR3_TERTT	GatB/Yqey domain protein	TERTU_3163	Teredinibacter turnerae (strain ATCC 39867 / T7901)	149			carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	GO:0016884
A0A024P981	A0A024P981	unreviewed	A0A024P981_9BACI	YndJ-like protein	BN983_03852	Halobacillus karajensis	321		membrane [GO:0016020]		GO:0016020
A0A1I3RN83	A0A1I3RN83	unreviewed	A0A1I3RN83_9BURK	Lipid-binding SYLF domain-containing protein	SAMN05192543_107355	Paraburkholderia megapolitana	195				
A0A150AA59	A0A150AA59	unreviewed	A0A150AA59_9BACT	Thioredoxin domain-containing protein	AVL50_29995	Flammeovirga sp. SJP92	182				
A0A0D1UXS7	A0A0D1UXS7	unreviewed	A0A0D1UXS7_ANEMI	Spore germination protein (Sporulation protein)	AF333_23875 SAMN04487909_101248	Aneurinibacillus migulanus (Bacillus migulanus)	449	spore germination [GO:0009847]			GO:0009847
A0A1W1YYK2	A0A1W1YYK2	unreviewed	A0A1W1YYK2_9FIRM	TIGR00255 family protein	SAMN06296952_1110	Oscillospiraceae bacterium	294				
A0A1M7C934	A0A1M7C934	unreviewed	A0A1M7C934_9GAMM	YXWGXW repeat-containing protein	SAMN05428972_0463	Rhodanobacter sp. OK091	119				
A0A179T1X0	A0A179T1X0	unreviewed	A0A179T1X0_9BACI	YugN-like family protein	A6K24_03120	Metabacillus litoralis	118				
A0A2C9L9A1	A0A2C9L9A1	unreviewed	A0A2C9L9A1_BIOGL	Tyrosine-protein phosphatase domain-containing protein	106065281	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	144	protein dephosphorylation [GO:0006470]		protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0006470
A0A0Q4DWD4	A0A0Q4DWD4	unreviewed	A0A0Q4DWD4_9MICO	Flagellar M-ring protein	ASE56_07595	Microbacterium sp. Leaf203	544	bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum basal body, MS ring [GO:0009431]; plasma membrane [GO:0005886]	cytoskeletal motor activity [GO:0003774]	GO:0003774; GO:0005886; GO:0009431; GO:0071973
A0A0L0H611	A0A0L0H611	unreviewed	A0A0L0H611_SPIPD	Uncharacterized protein	SPPG_08531	Spizellomyces punctatus (strain DAOM BR117)	200	protein dephosphorylation [GO:0006470]	early endosome [GO:0005769]; plasma membrane [GO:0005886]	protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	GO:0004725; GO:0005769; GO:0005886; GO:0006470; GO:0008138
A0A179GUM2	A0A179GUM2	unreviewed	A0A179GUM2_PURLI	Yippee family protein	VFPFJ_09475	Purpureocillium lilacinum (Paecilomyces lilacinus)	298			metal ion binding [GO:0046872]	GO:0046872
A0A094HES9	A0A094HES9	unreviewed	A0A094HES9_9PEZI	Tyrosine specific protein phosphatases domain-containing protein	V502_06629	Pseudogymnoascus sp. VKM F-4520 (FW-2644)	269	dephosphorylation [GO:0016311]		phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0016311
H6MZI1	H6MZI1	unreviewed	H6MZI1_GORPV	Protein-tyrosine-phosphatase	GPOL_c09040	Gordonia polyisoprenivorans (strain DSM 44266 / VH2)	268			phosphoprotein phosphatase activity [GO:0004721]	GO:0004721
T1HDB5	T1HDB5	unreviewed	T1HDB5_RHOPR	Uncharacterized protein		Rhodnius prolixus (Triatomid bug)	113			zinc ion binding [GO:0008270]	GO:0008270
H2AMG3	H2AMG3	unreviewed	H2AMG3_KAZAF	Anaphase-promoting complex subunit 11	KAFR0A01240 KAFR_0A01240	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus)	173	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]	anaphase-promoting complex [GO:0005680]	cullin family protein binding [GO:0097602]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0005680; GO:0008270; GO:0031145; GO:0051301; GO:0061630; GO:0097602
A0A1X1R5S3	A0A1X1R5S3	unreviewed	A0A1X1R5S3_MYCFA	Phosphotyrosine protein phosphatase	ptbB AWC04_15845 MFAL_25470	Mycolicibacterium fallax (Mycobacterium fallax)	268	dephosphorylation [GO:0016311]		phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0016311
U7VD36	U7VD36	unreviewed	U7VD36_9FUSO	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD HMPREF0202_01476	Cetobacterium somerae ATCC BAA-474	294	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	acetyl-CoA carboxylase complex [GO:0009317]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295
